PDGs
TP53
MUC16
KDM6A
KMT2C
FAT4
MACF1
EP300
ELF3
KMT2D
CDKN1A
NCOR1
FGFR3
NFE2L2
CTNNB1
KRAS
RXRA
PRKCB
ESR1
RB1
PLK1
ATRX
KIT
MUC17
PRKD1
CCND1
CREBBP
AKT1
AXIN2
KMT2A
AKT3
MYLK
IL6ST
LRRK2
MYC
RHOA
FYN
ERBB3
JAK2
ESPL1
ATR
LYN
INSR
CDC25C
PDGFRB
KDR
HRAS
PRKG1
SALL4
GNG7
JAK1
AKT2
PRKCG
MET
CSPG4
SOS1
RAC1
MAP2K2
NFATC2
EGR2
BRCA1
CDC42
PRKD2
IGF1R
FANCA
NR3C1
CDH1
DNMT3B
ERBB2
MAPK1
PDGFRA
EGFR
SOCS1
FBN2
PIK3R1
FGFR1
VCAN
HDAC1
FOXO3
EPC1
MAP2K1
BRIP1
SMAD2
NCOR2
BIRC3
MALT1
IRS1
IRS2
TPR
ARID1A
PIK3CA
BRCA2
SYNE1
POLE
OBSCN
DST
ERCC2
CDKN2A
DMD
MED1
EPHA3
SMARCA4
SPTAN1
FBXW7
EZH2
PLCG1
ACTB
TRRAP
PTPN11
NEB
ASH1LFAT1
AJUBA
ERBB4
IL4R
PLCG2
PRKACA
LRP1
ADCY1
GATA3
CTNNA2
EGR1
RASA1
APC
ATM
NOTCH1
HERC2
LEPR
PRLR
NTRK2
RIMS2
COL1A1
HSPG2
ANGPT1
PLCE1
FLG
PRKCQ
CDC20
CCNB2
SOX17
COL14A1
STAT3
TGFBR2
FOXO1PIK3CA
MUC4
RYR1
PRKDC
FLT4
EPHA2
RELA
NOTCH3
VWF
MAML3
SMAD3
EPHA1
NCOR2BRAF
NRAS
TG
RBBP6
WNT2
COL11A1
IRF4
PIK3R1KRAS
EP300VHL
BAP1
BRD8
DAXX
FGFR2
PTPN2
NF1
PTPN13
MSH6
MTOR
DNMT1
MSH2
BMPR2
BCL9
MAX
GRB2
BTK
NCOA3
PBRM1
SETD2
SUZ12
CENPF
RUNX1
RBPJWDFY3
HERC1
FAT1
CUBN
SMARCB1
TP53BP1
PIK3CBCTNNB1
CACNA1E
KMT2B
NTRK3
ERCC4
NTRK1
NCOA2
CHD3
PTK2
CR1
HGF
C3
REV3L
FANCM
SIN3B
DOCK2
AKAP9
TRIM28
CHD4
APOB
SYNE2
BCL9MUC16
COL22A1
COL3A1
TRIM28SPOP
CDK12
FAT3
PTEN
FOXA1
GNB1
LRP1B
RFC1
SYK
VAV1
PIK3CB
RFC4
CYFIP1
LAMB1
SMAD4APC
CYSLTR2
DNAH2
CARD11
ADAMTS20
SLITRK5
RELN
SMAD4
UNC80
DNAH8
CBLB
TNRC6A
FLT1
SIN3ATP53
PREX2
COL4A1
ADAMTS5
DSEL
MUC2
EDNRB
EPHB1
DSTPIK3CA
MAP3K1
BCL2
RUNX1PIK3R1
CTCF
PPP2R1A
JAK3














































































































































































































































































